ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20190709,2928.2295,2928.8188,2937.7621,2912.8063,2933.3634,-5.1339,-0.175,145110604.0,154251421.8
000001.SH,20190708,2933.3634,2997.8067,2997.8067,2918.7157,3011.0588,-77.6954,-2.5803,211541268.0,205568813.5
000001.SH,20190705,3011.0588,3004.7383,3014.8474,2990.9247,3005.2488,5.81,0.1933,156755429.0,163180842.8
000001.SH,20190704,3005.2488,3015.6785,3024.5023,2991.9079,3015.2633,-10.0145,-0.3321,194415133.0,202266388.6
000001.SH,20190703,3015.2633,3031.832,3031.832,3006.3246,3043.9428,-28.6795,-0.9422,212296173.0,218657994.4
000001.SH,20190702,3043.9428,3042.58,3048.4839,3033.7809,3044.9028,-0.96,-0.0315,214520624.0,229566616.5
000001.SH,20190701,3044.9028,3024.6238,3045.3669,3014.6871,2978.8784,66.0244,2.2164,250840433.0,266541056.9
000001.SH,20190628,2978.8784,2992.2426,2992.2426,2961.2225,2996.7926,-17.9142,-0.5978,181431523.0,183641767.3
000001.SH,20190627,2996.7926,2982.6125,3011.538,2981.045,2976.2837,20.5089,0.6891,195397049.0,208618648.1
000001.SH,20190626,2976.2837,2964.6153,2986.9139,2958.4632,2982.0738,-5.7901,-0.1942,174449533.0,172516055.2
000001.SH,20190625,2982.0738,3004.9095,3004.9095,2948.9907,3008.1479,-26.0741,-0.8668,243699244.0,244315077.4
000001.SH,20190624,3008.1479,3004.2891,3012.826,2994.4219,3001.9802,6.1677,0.2055,210493894.0,211237183.0
000001.SH,20190621,3001.9802,2990.3687,3010.349,2989.2454,2987.1186,14.8616,0.4975,286973835.0,276662458.5
000001.SH,20190620,2987.1186,2917.331,2997.3888,2915.0895,2917.8029,69.3157,2.3756,291011537.0,288296546.4
000001.SH,20190619,2917.8029,2944.1154,2953.3355,2916.2149,2890.158,27.6449,0.9565,230756973.0,225567258.0
000001.SH,20190618,2890.158,2891.0917,2898.3304,2874.3129,2887.6221,2.5359,0.0878,147705320.0,136935231.7
000001.SH,20190617,2887.6113,2880.4226,2902.4808,2877.3941,2881.9743,5.637,0.1956,153964960.0,143141637.3
000001.SH,20190614,2881.9743,2912.9988,2924.3197,2879.6573,2910.7406,-28.7663,-0.9883,215435796.0,194303111.8
000001.SH,20190613,2910.7406,2905.2877,2918.4227,2885.9232,2909.3796,1.361,0.0468,212957791.0,191748206.7
000001.SH,20190612,2909.3796,2917.2239,2924.7018,2903.8833,2925.7162,-16.3366,-0.5584,240255775.0,223063953.3
000001.SH,20190611,2925.7162,2854.0704,2927.4303,2854.0704,2852.1302,73.586,2.58,260525796.0,254479985.8
000001.SH,20190610,2852.1302,2833.0145,2861.131,2824.3554,2827.7978,24.3324,0.8605,166585918.0,162489831.4
000001.SH,20190606,2827.7978,2862.3327,2862.3327,2822.1853,2861.4181,-33.6203,-1.175,177064411.0,164850546.7
000001.SH,20190605,2861.4181,2882.9369,2888.7676,2858.5719,2862.2803,-0.8622,-0.0301,181561047.0,175200844.2
000001.SH,20190604,2862.2803,2887.6405,2888.3861,2851.9728,2890.0809,-27.8006,-0.9619,188463541.0,181118915.5
000001.SH,20190603,2890.0809,2901.7424,2920.8292,2875.9019,2898.6961,-8.6152,-0.2972,215943554.0,208073320.3
000001.SH,20190531,2898.6961,2904.4976,2922.9075,2895.5778,2905.8054,-7.1093,-0.2447,195230580.0,191280403.6
000001.SH,20190530,2905.8054,2903.4246,2907.8463,2881.3802,2914.6964,-8.891,-0.305,205758789.0,197105555.8
000001.SH,20190529,2914.6964,2894.8297,2934.9768,2890.6645,2909.9106,4.7858,0.1645,198958821.0,202855039.2
000001.SH,20190528,2909.9106,2890.2658,2924.0395,2887.0835,2892.3782,17.5324,0.6062,223310557.0,227253813.7
000001.SH,20190527,2892.3782,2851.2809,2898.129,2833.0363,2852.9948,39.3834,1.3804,196720902.0,193768714.3
000001.SH,20190524,2852.9948,2847.8356,2871.8555,2846.0215,2852.5153,0.4795,0.0168,167205490.0,162689316.2
000001.SH,20190523,2852.5153,2880.8426,2885.1389,2846.956,2891.7046,-39.1893,-1.3552,197340309.0,192869487.3
000001.SH,20190522,2891.7046,2905.5241,2912.3952,2879.6437,2905.9688,-14.2642,-0.4909,200026905.0,193629366.6
000001.SH,20190521,2905.9688,2867.7066,2919.2373,2862.4951,2870.6046,35.3642,1.2319,211387022.0,202777774.1
000001.SH,20190520,2870.6046,2874.8011,2882.6294,2838.453,2882.2962,-11.6916,-0.4056,209472442.0,199210776.2
000001.SH,20190517,2882.2962,2955.7669,2956.7832,2873.7998,2955.711,-73.4148,-2.4838,266301643.0,247875177.7
